,EC Filename,Wrapper Name,Kmer Size,Read - TP,Read - TN,Read - FN,Read - FN WRONG,Read - FP,Read - FP INDEL,Total Trimmed Reads,Total Reads,Base - TP,Base - TN,Base - FN,Base - FN WRONG,Base - FP,Base - FP INDEL,Base - FP TRIM,Base - TP TRIM,Total Bases,Tool,Coverage,Length,Base Sensitivity,Base Precision,Base Gain,Base Accuracy,Dataset,Trim Percent,Trim Effeciency
885,sga_SRR1543965_raw_14.corrected.fastq.gz,run.sga.sh,14,546,39992,6105,2,54,1,0,46700,1461,11102748,10217,23,149,5,0,0,11114603,Sga,NA,100,0.12510703887651994,0.9046439628482972,0.11191984928926187,0.999064833894652,RSR,0.0,
886,sga_SRR1543964_raw_21.corrected.fastq.gz,run.sga.sh,21,335,39889,6399,3,73,1,1,46700,1670,11100769,11828,17,315,2,2,0,11114603,Sga,NA,100,0.12372203289376203,0.840463009562154,0.10023707215883834,0.9989055839421345,RSR,1.7994344917222864e-07,0.0
887,sga_SRR1543964_raw_26.corrected.fastq.gz,run.sga.sh,26,381,39889,6349,2,78,1,1,46700,1876,11100740,11628,11,344,2,2,0,11114603,Sga,NA,100,0.1389218009478673,0.8442844284428442,0.11329976303317535,0.9989215089373863,RSR,1.7994344917222864e-07,0.0
888,sga_SRR1543964_raw_23.corrected.fastq.gz,run.sga.sh,23,349,39889,6379,3,79,1,1,46700,1783,11100742,11715,17,342,2,2,0,11114603,Sga,NA,100,0.13209364350274114,0.8382698636577339,0.10660838642761891,0.9989133215104489,RSR,1.7994344917222864e-07,0.0
889,sga_SRR1543964_raw_28.corrected.fastq.gz,run.sga.sh,28,402,39889,6332,2,74,1,1,46700,1921,11100753,11582,12,331,2,2,0,11114603,Sga,NA,100,0.14226468192253575,0.85226264418811,0.11760349551951418,0.9989267272974123,RSR,1.7994344917222864e-07,0.0
890,reckoner_SRR1543970_raw_28.corrected.fastq.gz,run.reckoner.sh,28,1402,52898,5019,10,61,82,24,59472,2991,14138054,8589,87,3678,1757,143,3,14155302,Reckoner,NA,100,0.2582901554404145,0.3549727035366722,-0.21105354058721934,0.9989930272755101,RSR,1.031415649062097e-05,0.02097902097902098
891,reckoner_SRR1543970_raw_18.corrected.fastq.gz,run.reckoner.sh,18,1181,52898,5188,10,87,108,26,59472,2781,14136021,8766,117,5185,2703,253,6,14155832,Reckoner,NA,100,0.24084177708495713,0.26066173024650857,-0.4422793799255218,0.9987973856135276,RSR,1.8296345986587012e-05,0.023715415019762844
892,reckoner_SRR1543970_raw_22.corrected.fastq.gz,run.reckoner.sh,22,1286,52898,5114,11,62,101,26,59472,2945,14137100,8610,111,4304,2402,165,4,14155641,Reckoner,NA,100,0.25486802250108176,0.3051497254170552,-0.3254868022501082,0.9988985306701493,RSR,1.1938703446915614e-05,0.024242424242424242
893,reckoner_SRR1543970_raw_14.corrected.fastq.gz,run.reckoner.sh,14,1020,52898,5243,6,129,176,29,59472,2579,14132047,8894,191,8324,4420,231,6,14156692,Reckoner,NA,100,0.22478863418460734,0.16830907785681656,-0.885993201429443,0.9984417256976668,RSR,1.6741199144545914e-05,0.025974025974025976
894,reckoner_SRR1543970_raw_19.corrected.fastq.gz,run.reckoner.sh,19,1206,52898,5164,11,91,102,20,59472,2867,14136414,8664,136,4989,2407,165,3,14155645,Reckoner,NA,100,0.24863411672881797,0.2793530156874208,-0.39276732286878846,0.9988442064301993,RSR,1.1868056877662586e-05,0.01818181818181818
895,reckoner_SRR1543970_raw_24.corrected.fastq.gz,run.reckoner.sh,24,1324,52898,5080,10,66,94,22,59472,2953,14137212,8615,100,4300,2235,106,2,14155523,Reckoner,NA,100,0.2552731673582296,0.31123524451939294,-0.3096473029045643,0.9989151935841852,RSR,7.629530890522378e-06,0.018867924528301886
